,Metric,Value,"[theta,neighbour]"
3,RNSB,0.032573808134443626,"[0.1, 100]"
4,RND,0.02151703942136589,"[0.1, 100]"
5,RIPA,0.016898948699235916,"[0.1, 100]"
0,WEAT,0.04461054532353666,"[0.02, 200]"
1,WEATES,0.3358841124109949,"[0.02, 200]"
2,ECT,0.7929684773254793,"[0.02, 200]"
3,RNSB,0.024265480176592764,"[0.02, 200]"
4,RND,0.02465053032912966,"[0.02, 200]"
5,RIPA,0.010529350489377975,"[0.02, 200]"
0,WEAT,0.059842386777162054,"[0.05, 200]"
1,WEATES,0.4333454568230784,"[0.05, 200]"
2,ECT,0.8520629458177358,"[0.05, 200]"
3,RNSB,0.03499924312345951,"[0.05, 200]"
4,RND,0.022629645045899874,"[0.05, 200]"
5,RIPA,0.012465186417102814,"[0.05, 200]"
0,WEAT,0.056472191551296756,"[0.1, 200]"
1,WEATES,0.4205820543132686,"[0.1, 200]"
2,ECT,0.8629440553619195,"[0.1, 200]"
3,RNSB,0.030608032042555376,"[0.1, 200]"
4,RND,0.020984001812031694,"[0.1, 200]"
5,RIPA,0.015275508165359497,"[0.1, 200]"
0,WEAT,0.11456471333342903,"[0.02, 50]"
1,WEATES,0.7401222010905603,"[0.02, 50]"
2,ECT,0.5179299438267896,"[0.02, 50]"
3,RNSB,0.03575549268979723,"[0.02, 50]"
4,RND,0.0204353869654011,"[0.02, 50]"
5,RIPA,0.026430189609527588,"[0.02, 50]"
0,WEAT,0.08322003169114586,"[0.05, 50]"
1,WEATES,0.588091121471761,"[0.05, 50]"
2,ECT,0.4875303727811509,"[0.05, 50]"
3,RNSB,0.044092119940408514,"[0.05, 50]"
4,RND,0.022961917169780424,"[0.05, 50]"
5,RIPA,0.0298127681016922,"[0.05, 50]"
0,WEAT,0.09178733951660895,"[0.1, 50]"
1,WEATES,0.6837665311696736,"[0.1, 50]"
2,ECT,0.43544271088164854,"[0.1, 50]"
3,RNSB,0.04644938853789714,"[0.1, 50]"
4,RND,0.025269054309518313,"[0.1, 50]"
