,Metric,Value,"[theta,neighbour]"
1,WEATES,0.4369870758105647,"[0.02, 50]"
2,ECT,0.8739546068925717,"[0.02, 50]"
3,RNSB,0.011725239207584202,"[0.02, 50]"
4,RND,0.013949860461531327,"[0.02, 50]"
5,RIPA,0.012899904511868954,"[0.02, 50]"
0,WEAT,0.055222439196065565,"[0.05, 50]"
1,WEATES,0.41981853281685405,"[0.05, 50]"
2,ECT,0.888114595113176,"[0.05, 50]"
3,RNSB,0.0172448460607266,"[0.05, 50]"
4,RND,0.014421097080990092,"[0.05, 50]"
5,RIPA,0.015559528023004532,"[0.05, 50]"
0,WEAT,0.05371435121384898,"[0.1, 50]"
1,WEATES,0.4369560983619685,"[0.1, 50]"
2,ECT,0.8858774927971642,"[0.1, 50]"
3,RNSB,0.0161298108721447,"[0.1, 50]"
4,RND,0.014203145837864679,"[0.1, 50]"
5,RIPA,0.017130142077803612,"[0.1, 50]"
0,WEAT,0.046582830706941636,"[0.02, 100]"
1,WEATES,0.45566695196831963,"[0.02, 100]"
2,ECT,0.8623712296061928,"[0.02, 100]"
3,RNSB,0.013030511708897555,"[0.02, 100]"
4,RND,0.013399437799431079,"[0.02, 100]"
5,RIPA,0.01100307796150446,"[0.02, 100]"
0,WEAT,0.054432281322270855,"[0.05, 100]"
1,WEATES,0.4238359752217149,"[0.05, 100]"
2,ECT,0.8947904243326622,"[0.05, 100]"
3,RNSB,0.016115178902634218,"[0.05, 100]"
4,RND,0.014680309547906835,"[0.05, 100]"
5,RIPA,0.015011054463684559,"[0.05, 100]"
0,WEAT,0.05734180650671007,"[0.1, 100]"
1,WEATES,0.44265299022942195,"[0.1, 100]"
2,ECT,0.8841640663490038,"[0.1, 100]"
3,RNSB,0.021655497684591678,"[0.1, 100]"
4,RND,0.014823353635095323,"[0.1, 100]"
5,RIPA,0.01645374856889248,"[0.1, 100]"
0,WEAT,0.04828810260226563,"[0.02, 200]"
1,WEATES,0.4979606708264309,"[0.02, 200]"
2,ECT,0.880812757902481,"[0.02, 200]"
3,RNSB,0.011154212543811352,"[0.02, 200]"
4,RND,0.01325908452559769,"[0.02, 200]"
5,RIPA,0.011365607380867004,"[0.02, 200]"
0,WEAT,0.057755460161343676,"[0.05, 200]"
1,WEATES,0.4708261333279804,"[0.05, 200]"
2,ECT,0.8916431555147285,"[0.05, 200]"
3,RNSB,0.012821588850613724,"[0.05, 200]"
4,RND,0.013813105521517662,"[0.05, 200]"
5,RIPA,0.013699631206691265,"[0.05, 200]"
0,WEAT,0.05733233448745943,"[0.1, 200]"
1,WEATES,0.45693256646321956,"[0.1, 200]"
2,ECT,0.8934624084105769,"[0.1, 200]"
3,RNSB,0.017881316962585235,"[0.1, 200]"
4,RND,0.01473848520833152,"[0.1, 200]"
5,RIPA,0.015886075794696808,"[0.1, 200]"
0,WEAT,0.05874875093763758,"[0.02, 50]"
1,WEATES,0.48133416592847755,"[0.02, 50]"
2,ECT,0.8234294464303081,"[0.02, 50]"
3,RNSB,0.02978086346327327,"[0.02, 50]"
4,RND,0.021811102833881685,"[0.02, 50]"
5,RIPA,0.012128722853958607,"[0.02, 50]"
0,WEAT,0.06212630465411214,"[0.05, 50]"
1,WEATES,0.4828157257264877,"[0.05, 50]"
2,ECT,0.8755496702847783,"[0.05, 50]"
3,RNSB,0.03262860923368105,"[0.05, 50]"
4,RND,0.020722970250727425,"[0.05, 50]"
5,RIPA,0.015318666584789753,"[0.05, 50]"
0,WEAT,0.06648094478618082,"[0.1, 50]"
1,WEATES,0.5209655973875332,"[0.1, 50]"
2,ECT,0.8696693209991374,"[0.1, 50]"
3,RNSB,0.03164016491437816,"[0.1, 50]"
4,RND,0.022584435037733247,"[0.1, 50]"
5,RIPA,0.018798189237713814,"[0.1, 50]"
0,WEAT,0.04907635793580888,"[0.02, 100]"
1,WEATES,0.4043907553370523,"[0.02, 100]"
2,ECT,0.8407564500049172,"[0.02, 100]"
3,RNSB,0.028634011015804286,"[0.02, 100]"
4,RND,0.022645195675558897,"[0.02, 100]"
5,RIPA,0.010636626742780209,"[0.02, 100]"
0,WEAT,0.06597344655493151,"[0.05, 100]"
1,WEATES,0.5197807408019449,"[0.05, 100]"
2,ECT,0.8955980628940443,"[0.05, 100]"
3,RNSB,0.0337754272069309,"[0.05, 100]"
4,RND,0.022063139194709393,"[0.05, 100]"
5,RIPA,0.013161882758140564,"[0.05, 100]"
0,WEAT,0.059853803017932763,"[0.1, 100]"
1,WEATES,0.4786971371317694,"[0.1, 100]"
2,ECT,0.8583264821678455,"[0.1, 100]"
3,RNSB,0.035238948872492216,"[0.1, 100]"
4,RND,0.022051552294729146,"[0.1, 100]"
5,RIPA,0.01793406344950199,"[0.1, 100]"
0,WEAT,0.04942772708941507,"[0.02, 200]"
1,WEATES,0.4039273888498052,"[0.02, 200]"
2,ECT,0.7974675549227709,"[0.02, 200]"
3,RNSB,0.026183120521553693,"[0.02, 200]"
4,RND,0.023056877027872697,"[0.02, 200]"
5,RIPA,0.009551474824547768,"[0.02, 200]"
0,WEAT,0.0661933718501802,"[0.05, 200]"
1,WEATES,0.5314895166391981,"[0.05, 200]"
2,ECT,0.871058457069439,"[0.05, 200]"
3,RNSB,0.04063919209553431,"[0.05, 200]"
4,RND,0.023678560212587643,"[0.05, 200]"
5,RIPA,0.011058405041694641,"[0.05, 200]"
0,WEAT,0.06855254521961848,"[0.1, 200]"
1,WEATES,0.5241037250692993,"[0.1, 200]"
2,ECT,0.8843114867174181,"[0.1, 200]"
3,RNSB,0.03147833136323914,"[0.1, 200]"
4,RND,0.021545071708864924,"[0.1, 200]"
5,RIPA,0.016555430367588997,"[0.1, 200]"
0,WEAT,0.09999085502774463,"[0.02, 50]"
1,WEATES,0.6994473003919613,"[0.02, 50]"
2,ECT,0.5401096894324031,"[0.02, 50]"
3,RNSB,0.04324145913537469,"[0.02, 50]"
4,RND,0.024332231404632528,"[0.02, 50]"
5,RIPA,0.027722880244255066,"[0.02, 50]"
0,WEAT,0.09243395753710602,"[0.05, 50]"
1,WEATES,0.6868968194902532,"[0.05, 50]"
2,ECT,0.4324906127229946,"[0.05, 50]"
3,RNSB,0.04368187735358907,"[0.05, 50]"
4,RND,0.02591944941322606,"[0.05, 50]"
5,RIPA,0.031556081026792526,"[0.05, 50]"
0,WEAT,0.0924997327091083,"[0.1, 50]"
1,WEATES,0.7176047437094394,"[0.1, 50]"
2,ECT,0.4072351621488684,"[0.1, 50]"
3,RNSB,0.04335286329102719,"[0.1, 50]"
4,RND,0.027627702635689422,"[0.1, 50]"
5,RIPA,0.03147365152835846,"[0.1, 50]"
0,WEAT,0.09400092546578273,"[0.02, 100]"
1,WEATES,0.6750680303382526,"[0.02, 100]"
2,ECT,0.4912691849837402,"[0.02, 100]"
3,RNSB,0.04812726340080549,"[0.02, 100]"
4,RND,0.02080490606891642,"[0.02, 100]"
5,RIPA,0.024449825286865234,"[0.02, 100]"
0,WEAT,0.08571219563830318,"[0.05, 100]"
1,WEATES,0.6198607604754552,"[0.05, 100]"
2,ECT,0.4579974194025451,"[0.05, 100]"
3,RNSB,0.04883669507192457,"[0.05, 100]"
4,RND,0.024586270873958985,"[0.05, 100]"
5,RIPA,0.030146779492497444,"[0.05, 100]"
0,WEAT,0.09349090925792161,"[0.1, 100]"
1,WEATES,0.7094090956185515,"[0.1, 100]"
2,ECT,0.4163399490441264,"[0.1, 100]"
3,RNSB,0.045851133339109805,"[0.1, 100]"
4,RND,0.027628041295443245,"[0.1, 100]"
5,RIPA,0.03100535459816456,"[0.1, 100]"
0,WEAT,0.09662024656951289,"[0.02, 200]"
1,WEATES,0.7033280265140167,"[0.02, 200]"
2,ECT,0.5460800538829627,"[0.02, 200]"
3,RNSB,0.033796272046691576,"[0.02, 200]"
4,RND,0.019096909960180885,"[0.02, 200]"
5,RIPA,0.020460957661271095,"[0.02, 200]"
0,WEAT,0.08309290675155312,"[0.05, 200]"
1,WEATES,0.5802647780572813,"[0.05, 200]"
2,ECT,0.4900685066232342,"[0.05, 200]"
3,RNSB,0.04539185392905829,"[0.05, 200]"
4,RND,0.02500728306139185,"[0.05, 200]"
5,RIPA,0.029176168143749237,"[0.05, 200]"
0,WEAT,0.09304460893975386,"[0.1, 200]"
1,WEATES,0.7060657991500047,"[0.1, 200]"
2,ECT,0.42290265848378156,"[0.1, 200]"
3,RNSB,0.04113172836519465,"[0.1, 200]"
4,RND,0.027567966093015397,"[0.1, 200]"
5,RIPA,0.030246414244174957,"[0.1, 200]"
0,WEAT,0.03520448358407173,"[0.02, 50]"
1,WEATES,0.2186233801368091,"[0.02, 50]"
2,ECT,0.8616425483976773,"[0.02, 50]"
3,RNSB,0.021274466113759237,"[0.02, 50]"
4,RND,0.010461349231926738,"[0.02, 50]"
5,RIPA,0.010079770348966122,"[0.02, 50]"
0,WEAT,0.041299835652007455,"[0.05, 50]"
1,WEATES,0.31165365104127246,"[0.05, 50]"
2,ECT,0.9167564271355575,"[0.05, 50]"
3,RNSB,0.02030732689441836,"[0.05, 50]"
4,RND,0.014737014002636807,"[0.05, 50]"
5,RIPA,0.014691977761685848,"[0.05, 50]"
0,WEAT,0.04410659581511078,"[0.1, 50]"
1,WEATES,0.36465333973246505,"[0.1, 50]"
2,ECT,0.9040457282846774,"[0.1, 50]"
3,RNSB,0.019381445750468625,"[0.1, 50]"
4,RND,0.016079884432232006,"[0.1, 50]"
5,RIPA,0.015822185203433037,"[0.1, 50]"
0,WEAT,0.039514250227833794,"[0.02, 100]"
1,WEATES,0.2436920932547874,"[0.02, 100]"
2,ECT,0.8584317227311159,"[0.02, 100]"
3,RNSB,0.01773302284616301,"[0.02, 100]"
4,RND,0.01056939942514888,"[0.02, 100]"
5,RIPA,0.010239058174192905,"[0.02, 100]"
0,WEAT,0.04407616792861943,"[0.05, 100]"
1,WEATES,0.311981177094094,"[0.05, 100]"
2,ECT,0.8937316063253283,"[0.05, 100]"
3,RNSB,0.01988332047807845,"[0.05, 100]"
4,RND,0.013828124808964044,"[0.05, 100]"
5,RIPA,0.013834081590175629,"[0.05, 100]"
0,WEAT,0.042916075516436565,"[0.1, 100]"
1,WEATES,0.3383338299269544,"[0.1, 100]"
2,ECT,0.9088505354589471,"[0.1, 100]"
3,RNSB,0.020614056935910733,"[0.1, 100]"
4,RND,0.0158101183936132,"[0.1, 100]"
5,RIPA,0.01566343382000923,"[0.1, 100]"
0,WEAT,0.03984027740584301,"[0.02, 200]"
1,WEATES,0.25681193860615237,"[0.02, 200]"
2,ECT,0.8423653788263136,"[0.02, 200]"
3,RNSB,0.018143493310216363,"[0.02, 200]"
4,RND,0.009887067460711677,"[0.02, 200]"
5,RIPA,0.009816722013056278,"[0.02, 200]"
0,WEAT,0.037449512617727464,"[0.05, 200]"
1,WEATES,0.20814051794851718,"[0.05, 200]"
2,ECT,0.8506584865181973,"[0.05, 200]"
3,RNSB,0.02534729824491553,"[0.05, 200]"
