,Metric,Value,alpha
0,WEAT,0.08957512174759993,0
1,WEATES,0.7979099613183901,0
2,ECT,0.5367846609650729,0
3,RNSB,0.07204552864081902,0
4,RND,0.32052506642325784,0
5,RIPA,0.08060477674007416,0
0,WEAT,0.10623813234824375,10
1,WEATES,0.9043479577773091,10
2,ECT,0.5504963406970711,10
3,RNSB,0.09512100585958913,10
4,RND,0.320640802644482,10
5,RIPA,0.08872414380311966,10
0,WEAT,0.11969625324693031,30
1,WEATES,0.9572815308375461,30
2,ECT,0.5574130554066926,30
3,RNSB,0.14794007960264577,30
4,RND,0.3170889506797035,30
5,RIPA,0.0910160169005394,30
0,WEAT,0.12931380609984103,60
1,WEATES,0.985978253600232,60
2,ECT,0.5491213424618723,60
3,RNSB,0.12382116982870779,60
4,RND,0.31456184887607846,60
5,RIPA,0.10072344541549683,60
0,WEAT,0.13330423363399516,80
1,WEATES,0.9944236385583505,80
2,ECT,0.5228453074568674,80
3,RNSB,0.16388609926167236,80
4,RND,0.3134256728414054,80
5,RIPA,0.10599430650472641,80
0,WEAT,0.1363113587493063,100
1,WEATES,0.9990021632778804,100
2,ECT,0.5237486059852045,100
3,RNSB,0.1486622835360507,100
4,RND,0.3124560616520563,100
5,RIPA,0.11028791218996048,100
